"DATE","TIME PERIOD","Average close"
"1994-01-31","1994Jan","6.9100"
"1994-02-28","1994Feb","6.8600"
"1994-03-31","1994Mar","6.7500"
"1994-04-30","1994Apr","6.5700"
"1994-05-31","1994May","6.2400"
"1994-06-30","1994Jun","6.3000"
"1994-07-31","1994Jul","6.3400"
"1994-08-31","1994Aug","6.4300"
"1994-09-30","1994Sep","6.3800"
"1994-10-31","1994Oct","6.4300"
"1994-11-30","1994Nov","6.4000"
"1994-12-31","1994Dec","6.6900"
"1995-01-31","1995Jan","6.6600"
"1995-02-28","1995Feb","6.5900"
"1995-03-31","1995Mar","7.5800"
"1995-04-30","1995Apr","7.2900"
"1995-05-31","1995May","7.0400"
"1995-06-30","1995Jun","7.0800"
"1995-07-31","1995Jul","6.9200"
"1995-08-31","1995Aug","6.6600"
"1995-09-30","1995Sep","6.5000"
"1995-10-31","1995Oct","6.7500"
"1995-11-30","1995Nov","6.4500"
"1995-12-31","1995Dec","6.3200"
"1996-01-31","1996Jan","5.8100"
"1996-02-29","1996Feb","5.5800"
"1996-03-31","1996Mar","5.5000"
"1996-04-30","1996Apr","5.2700"
"1996-05-31","1996May","5.0600"
"1996-06-30","1996Jun","5.0800"
"1996-07-31","1996Jul","5.0600"
"1996-08-31","1996Aug","5.0800"
"1996-09-30","1996Sep","4.8600"
"1996-10-31","1996Oct","4.6900"
"1996-11-30","1996Nov","4.5700"
"1996-12-31","1996Dec","4.5000"
"1997-01-31","1997Jan","4.3900"
"1997-02-28","1997Feb","4.4300"
"1997-03-31","1997Mar","4.5000"
"1997-04-30","1997Apr","4.3900"
"1997-05-31","1997May","4.3000"
"1997-06-30","1997Jun","4.2900"
"1997-07-31","1997Jul","4.3000"
"1997-08-31","1997Aug","4.3600"
"1997-09-30","1997Sep","4.3100"
"1997-10-31","1997Oct","4.4400"
"1997-11-30","1997Nov","4.4900"
"1997-12-31","1997Dec","4.3700"
"1998-01-31","1998Jan","4.2600"
"1998-02-28","1998Feb","4.2400"
"1998-03-31","1998Mar","4.1100"
"1998-04-30","1998Apr","4.0900"
"1998-05-31","1998May","4.0600"
"1998-06-30","1998Jun","4.0200"
"1998-07-31","1998Jul","3.9500"
"1998-08-31","1998Aug","3.9300"
"1998-09-30","1998Sep","3.9300"
