timestamp,Basel Temperature Max,Basel Temperature Min,Basel Temperature Mean
20080101T0000,3.7905285,-0.69947135,1.3734454
20080102T0000,2.6105285,-4.0394716,-0.77072144
20080103T0000,5.6305285,-1.6194713,1.252612
20080104T0000,9.200529,-1.0494714,3.494279
20080105T0000,10.950529,2.6005285,7.391363
20080106T0000,8.540529,5.8605285,6.9126115
20080107T0000,12.390529,3.5805285,6.979695
20080108T0000,7.9205284,2.2005286,4.5984454
20080109T0000,10.320529,2.5705285,5.9521947
20080110T0000,11.690529,1.3405286,7.08303
20080111T0000,10.990529,0.6405287,4.958445
20080112T0000,5.7405286,-0.19947135,4.3134446
20080113T0000,6.3705287,-0.33947134,2.2988617
20080114T0000,8.950529,0.030528657,4.1942782
20080115T0000,10.170529,1.6505287,6.3917794
20080116T0000,8.750529,2.8805285,6.5959454
20080117T0000,9.920529,2.7405286,6.3196964
20080118T0000,11.120529,8.170529,9.768863
20080119T0000,13.250529,6.3905287,10.165113
20080120T0000,11.680529,4.3205285,7.510946
20080121T0000,12.160529,1.1405287,6.755529
20080122T0000,8.500529,2.4805286,6.332613
20080123T0000,7.790529,-1.4994713,3.3838618
20080124T0000,11.850529,1.7605287,6.5046954
20080125T0000,7.3205285,1.7405287,4.889695
20080126T0000,7.6305285,0.21052867,4.1984453
20080127T0000,10.330529,2.7305286,6.678446
20080128T0000,11.420529,2.9705286,6.5917783
20080129T0000,11.460529,3.3305285,7.635529
20080130T0000,7.4205284,1.9305286,5.0096955
20080131T0000,5.6805286,0.53052866,3.0521955
20080201T0000,10.060529,2.8005285,6.6255283
20080202T0000,4.8105288,-0.009471342,2.568862
20080203T0000,8.230529,-1.8694713,2.0859454
20080204T0000,6.7005286,-2.0594714,3.1659453
20080205T0000,10.690529,1.5405287,6.3534455
20080206T0000,11.970529,5.0205283,9.447612
20080207T0000,8.020529,2.3705285,5.0946956
20080208T0000,10.510529,0.070528656,4.178862
20080209T0000,8.600529,0.43052867,4.051779
20080210T0000,6.7505283,-0.27947134,3.4296954
20080211T0000,8.5505295,-0.65947133,2.5071955
20080212T0000,8.400529,-0.90947133,3.953862
20080213T0000,9.250529,-0.56947136,4.371362
20080214T0000,8.000528,-0.71947134,3.5696952
20080215T0000,8.150529,-2.6094716,2.0451121
20080216T0000,7.2105284,-4.4694715,0.4663619
20080217T0000,6.2305284,-3.4294715,1.0259452
20080218T0000,8.620529,-0.6094713,3.5813625
20080219T0000,10.080529,-1.6494713,4.3942785
20080220T0000,13.180529,2.8205285,7.4301114
20080221T0000,11.730529,5.4705286,8.740113
20080222T0000,13.520529,5.1905284,9.186362
20080223T0000,13.980529,7.0305285,10.155112
20080224T0000,16.04053,5.2205286,10.938446
20080225T0000,14.790529,6.4705286,10.866364
20080226T0000,16.000528,6.7305284,11.365531
20080227T0000,11.640529,6.6705284,9.262196
20080228T0000,13.610529,3.0605285,9.031362
20080229T0000,14.000529,9.270529,11.959279
20080301T0000,12.510529,8.920529,10.850947
20080302T0000,12.360529,8.210529,10.608863
20080303T0000,11.990529,3.6805286,8.745946
20080304T0000,5.8605285,1.3805287,3.9730284
20080305T0000,3.4805286,-2.2294714,1.0263621
20080306T0000,6.9705286,-3.6094716,1.0063618
20080307T0000,8.970529,-0.96947134,3.8146951
20080308T0000,9.270529,2.8205285,6.1030293
20080309T0000,12.310529,3.0805285,7.640529
20080310T0000,12.470529,4.4205284,7.9021955
20080311T0000,11.640529,5.4505286,8.341363
20080312T0000,13.110529,5.6605287,10.160529
20080313T0000,10.690529,4.290529,7.8255296
20080314T0000,15.100529,7.2105284,11.6338625
20080315T0000,19.190529,6.2405286,12.400112
20080316T0000,12.820529,8.380529,10.436361
20080317T0000,8.720529,4.7805285,7.0546956
20080318T0000,6.1905284,-0.29947135,2.9392788
20080319T0000,5.6405287,-0.46947134,2.6846952
20080320T0000,6.1805286,-0.7894713,3.2976122
20080321T0000,6.0005283,1.7805287,3.7346952
20080322T0000,5.9105287,-1.0994713,2.8034456
20080323T0000,4.1305285,-1.4494714,1.4430286
20080324T0000,3.8405285,-3.0294714,0.6009452
20080325T0000,4.2105284,-1.3394713,1.5842787
20080326T0000,10.880529,1.2705287,6.4959455
20080327T0000,9.3005295,4.7705283,7.033028
20080328T0000,13.220529,1.1405287,7.6296945
20080329T0000,13.980529,2.8805285,9.165946
20080330T0000,20.740528,0.44052866,11.244279
20080331T0000,11.860529,7.3305287,9.423863
20080401T0000,15.740529,6.9205284,11.121364
20080402T0000,12.110529,6.8305287,9.51803
20080403T0000,9.510529,4.7505283,7.0963616
20080404T0000,11.460529,3.3905284,7.2680283
20080405T0000,12.830529,1.6105287,8.538445
20080406T0000,8.450529,3.2205286,5.9826126
20080407T0000,6.6205287,-1.0694714,2.973862
20080408T0000,12.770529,-1.5394714,6.0705295
20080409T0000,13.190529,4.6505284,9.440946
20080410T0000,12.0505295,6.290529,9.705529
20080411T0000,13.220529,6.3905287,9.645112
20080412T0000,11.970529,4.790529,8.646361
20080413T0000,15.450529,5.1905284,10.345529
20080414T0000,9.230529,4.9205284,7.757612
20080415T0000,7.9005284,4.6805286,6.4592786
20080416T0000,9.000529,2.5205286,5.835529
20080417T0000,14.100529,-0.39947134,7.368445
20080418T0000,17.190529,5.4105287,11.602196
20080419T0000,15.740529,7.5905285,12.075111
20080420T0000,17.610529,6.6405287,12.909696
20080421T0000,12.330529,9.100529,10.630113
20080422T0000,13.380529,9.110529,11.005944
20080423T0000,14.690529,10.060529,12.321778
20080424T0000,17.420528,10.610529,13.66928
20080425T0000,15.890529,8.760529,13.081363
20080426T0000,18.89053,7.1905284,13.247196
20080427T0000,20.39053,8.350529,14.981361
20080428T0000,19.430529,8.730529,13.013447
